roe,roic,debt_to_equity,debt_to_assets,equity_multiplier,pm_x_at,leverage_boost,leverage_share_of_roe,roe_quality,leverage_flag,dupont_identity,ticker,ev_ebitda,pb_ratio,mktcap_to_assets
0.5821658312849903,0.32364463240418534,0.7987810487088486,0.444,1.799,0.3236,0.2585,0.444,mixed,mixed-assets,ROE = PM × AT × EM,WSM,13.416096983950203,11.373309578853299,4.203114535879137
0.556570220128809,0.23552861733718422,1.3630683456695185,0.577,2.363,0.2355,0.321,0.577,leverage_driven,levered-assets,ROE = PM × AT × EM,TJX,20.055020152276846,16.591089789082123,4.773414101328097
0.55,0.3,1.5,0.6,2.5,0.22,0.33,0.6,leverage_driven,levered-assets,ROE = PM × AT × EM,LLY,35.0,45.0,10.571
0.55,0.16,2.0,0.667,3.0,0.1833,0.3667,0.667,leverage_driven,levered-assets,ROE = PM × AT × EM,KMB,,20.27,2.141
0.55,0.2,1.5,0.6,2.5,0.22,0.33,0.6,leverage_driven,levered-assets,ROE = PM × AT × EM,LMT,,15.05,2.407
0.5466364665911665,0.14142562467769912,2.8651868629671573,0.741,3.865,0.1414,0.4052,0.741,leverage_driven,levered-assets,ROE = PM × AT × EM,DRI,13.640661079916521,10.494885018120431,1.801176971443965
0.5086167800453515,0.24382422480093485,1.085997732426304,0.521,2.086,0.2438,0.2648,0.521,leverage_driven,levered-assets,ROE = PM × AT × EM,GE,31.304493625428396,21.95496041034916,3.0334411745610566
0.5,0.14,1.6,0.615,2.6,0.1923,0.3077,0.615,leverage_driven,levered-assets,ROE = PM × AT × EM,PEP,,8.59,1.898
0.5,0.18,2.5,0.714,3.5,0.1429,0.3571,0.714,leverage_driven,levered-assets,ROE = PM × AT × EM,ORCL,,9.75,2.617
0.47123236325667317,0.2109571637461946,1.2337822280527964,0.552,2.234,0.211,0.2603,0.552,leverage_driven,levered-assets,ROE = PM × AT × EM,PAYX,12.457416487916825,9.13996145832041,2.1106476270037753
0.46237533998186764,0.17565007749268124,1.6323662737987308,0.62,2.632,0.1757,0.2867,0.62,leverage_driven,levered-assets,ROE = PM × AT × EM,EBAY,14.944438930492305,9.134440210226549,2.2523417094684812
0.4606418941825797,0.24345670780878398,0.892089555997683,0.471,1.892,0.2435,0.2172,0.471,mixed,mixed-assets,ROE = PM × AT × EM,ULTA,13.264757184485596,8.952459084581102,3.3509895640611784
