date,window,avg_corr,median_corr,p10_corr,p90_corr,dispersion
2022-02-11,20,0.42584457490575806,0.45898073713166243,0.029067856502601533,0.7785000467352412,0.2940433581381376
2022-02-14,20,0.4137170812501244,0.4486882434117894,-0.010312299759209696,0.7832834848265197,0.3121137625348013
2022-02-15,20,0.4107458567271319,0.4453287545124866,-0.017715726736549423,0.7923924456986507,0.3155580678651907
2022-02-16,20,0.4372330573893825,0.48319102478404174,-0.013522556985725362,0.8069864576089736,0.31490011749601116
2022-02-17,20,0.4342152131027308,0.48126965871497124,-0.011637134114385312,0.8042963972620382,0.31330758086737026
2022-02-18,20,0.44604307403335247,0.5094621937646786,-0.022656166199891286,0.8029210003111935,0.3170080791865599
2022-02-22,20,0.4330391261050766,0.4866508395075598,-0.02448082444695316,0.7923939349677455,0.31465165752903196
2022-02-23,20,0.4278352292670279,0.4903997540952124,-0.02742442213769694,0.7908543012248819,0.3234959401465631
2022-02-24,20,0.4294150291818054,0.49871308795911473,-0.05063025067108844,0.7913159481439599,0.32200981693582514
2022-02-25,20,0.451554017143245,0.5168733184578052,-0.010275906957882108,0.8101272355962292,0.32103740468293673
2022-02-28,20,0.46012813276192943,0.5253497773886149,-0.014039967909860868,0.8150238624647738,0.31611194526781355
2022-03-01,20,0.4519082718373814,0.5177256170288409,-0.015359354442060642,0.8051133645703501,0.3148621440024809
2022-03-02,20,0.4542483141124876,0.49001615613661686,0.059003831159991894,0.7824156071229181,0.28353304944766966
2022-03-03,20,0.45093831843146653,0.4831727086486542,0.05522996950379771,0.7821565612826503,0.27977282959504635
2022-03-04,20,0.4635660398164442,0.5047966138473277,0.0641360313464681,0.8014895951160409,0.28956247280229547
2022-03-07,20,0.43110790000529087,0.5020397565000173,-0.013233453551596098,0.7948534514184913,0.3172556895314033
2022-03-08,20,0.4342865654837271,0.49296785894152706,-0.01759656883909215,0.7868050546843957,0.32356304359669374
2022-03-09,20,0.4093187306564092,0.47455144952510697,-0.07591543817710365,0.7950842999042276,0.33622750726751904
2022-03-10,20,0.40693319849779735,0.47714143326754976,-0.08698137152383074,0.8113475074175703,0.34130267166663364
2022-03-11,20,0.3896300524714734,0.4414646946094364,-0.12065181119359958,0.798580540399049,0.34187383236585955
2022-03-14,20,0.39236193251258067,0.4567792165622796,-0.1493799081204911,0.8048131623624274,0.35229560746256433
2022-03-15,20,0.406299544085998,0.4546461518308226,-0.08479084535937191,0.8036248264879966,0.33117930142141566
2022-03-16,20,0.4090658256884819,0.46601936612354566,-0.07711468498200431,0.8189261820185516,0.3390233522032191
2022-03-17,20,0.38185339380054756,0.4560637329993154,-0.14937857101580948,0.8252439958705675,0.36393731088529657
2022-03-18,20,0.38393971196968346,0.44077658376065065,-0.12563682744431445,0.8181153080091565,0.3523579315265169
2022-03-21,20,0.3644017085108222,0.42959087427619363,-0.13907572466805285,0.8136968253321143,0.3659972531976771
2022-03-22,20,0.35890437641428585,0.4341324185014619,-0.17927825272827452,0.8087312980007508,0.3753944773796371
2022-03-23,20,0.3499787153847767,0.4348863897401104,-0.20005342123297917,0.8037598661792512,0.38035484292787153
2022-03-24,20,0.3429103764498975,0.42878623871039934,-0.23054408751099104,0.8023128382910565,0.3877095070934808
2022-03-25,20,0.32903225486957244,0.38746190186754126,-0.2229232737927434,0.7988314487916419,0.3806791227697773
2022-03-28,20,0.31998251530767297,0.38084083977174393,-0.2565567839860703,0.7938447782020487,0.389383990312162
2022-03-29,20,0.32072882899597466,0.39218165853448206,-0.26670302939737484,0.8039810718805648,0.39126169683691747
2022-03-30,20,0.32271467351407584,0.3966558589389399,-0.28086302249942763,0.8022579327172984,0.3970780419911645
2022-03-31,20,0.32375267679976794,0.415797490376576,-0.3110472209649082,0.8042488675185304,0.4126159667083987
2022-04-01,20,0.32899521657651887,0.4113904343936419,-0.27582886170616056,0.8076850210405916,0.40229236457671025
2022-04-04,20,0.3296045571796295,0.4071518968010469,-0.2436996767479475,0.7859857155984086,0.38291168613749765
2022-04-05,20,0.3263762532759753,0.3951564912450831,-0.23329744249778986,0.7779264634721114,0.3777945589978465
2022-04-06,20,0.37595963232800855,0.4499285688137227,-0.177165013613501,0.8085799562814784,0.36956265496818386
2022-04-07,20,0.3738956165142678,0.44960809946026903,-0.20926154338319408,0.8028737360220838,0.3701240925118654
2022-04-08,20,0.3746528743290686,0.45178624913706356,-0.20096584059283568,0.8037756131746087,0.3671570984054915
2022-04-11,20,0.3764132141734656,0.4554713884893953,-0.21051096103713363,0.7959077960640436,0.36991528723113226
2022-04-12,20,0.3749313761429915,0.4473591074881049,-0.1926738529574169,0.7819646493855111,0.3587496625807202
2022-04-13,20,0.36833487559360684,0.4360320144421737,-0.19308079214491744,0.7809929341654327,0.36166103565467134
2022-04-14,20,0.394255057803586,0.4353979536167757,-0.04146480733596864,0.7425782971004511,0.28996675467881
2022-04-18,20,0.37630119688553854,0.4348253030983741,-0.10531532508356087,0.7505771589890485,0.3163434313023614
2022-04-19,20,0.3520586283816069,0.3741223038356489,-0.08226083241841989,0.7355719494812001,0.2986478523482783
2022-04-20,20,0.36559999891684675,0.3989896851293331,-0.08905403448004644,0.7566588693317415,0.3092698728137545
2022-04-21,20,0.34814120227779555,0.3668974836946136,-0.0720775301624689,0.7374798534094401,0.30080359231520604
2022-04-22,20,0.4010497678028879,0.4075053346739581,0.05487627689408865,0.7360366703584585,0.2599429781809041
2022-04-25,20,0.3957461967646438,0.41049235388973565,0.054456436294379136,0.7193369246119555,0.25453435463432617
2022-04-26,20,0.3948145985620963,0.41699164190035587,0.03567178589727405,0.734132226277424,0.26684657288678665
2022-04-27,20,0.44280762255134776,0.4506322228870083,0.08123037824469688,0.7643579079822242,0.2565472794698491
2022-04-28,20,0.4155126269552247,0.4278221686290433,0.0877350694221147,0.7404518200468462,0.24449161607390893
2022-04-29,20,0.44096538682405695,0.4527568335426734,0.13347027316873109,0.7565453360264021,0.2368252564955403
2022-05-02,20,0.46450978978458096,0.469533190094929,0.16254789367179936,0.7686279337053942,0.23026659370310354
2022-05-03,20,0.47819072358720377,0.48612765252837553,0.16875447991196904,0.7868244815676566,0.24073078821623164
2022-05-04,20,0.483690346650794,0.49039402824240874,0.19356875577765642,0.7919825502205006,0.22852458324783864
2022-05-05,20,0.5171279956639846,0.5147714843091502,0.23281464454166656,0.8123182865066508,0.21715108696849958
2022-05-06,20,0.5541437914766278,0.5624164416503867,0.2689658850192819,0.8326722498500441,0.20967636775768736
2022-05-09,20,0.563441909946694,0.5721232898593351,0.2808299258537524,0.8335441381137755,0.20639285658050796
2022-05-10,20,0.6276147601805774,0.6386486585861206,0.403901179183266,0.842047886819844,0.16598696790524417
2022-05-11,20,0.6237640806426111,0.6324702068902207,0.39343525518396155,0.838002825956522,0.1713802746272827
2022-05-12,20,0.6201379335935459,0.6327730224988947,0.3705337352196367,0.8481406216795623,0.17684078490793156
2022-05-13,20,0.5911441142711827,0.5919559974386255,0.3426273427232353,0.8245331805522208,0.18321806234456747
2022-05-16,20,0.6295003259851004,0.6313144539939962,0.39744841150902804,0.8499870931092468,0.17032639445119555
2022-05-17,20,0.6302628770310951,0.6492409196375137,0.3741511801671719,0.8569702553008035,0.18221839112164762
2022-05-18,20,0.6505601291720341,0.6679627658938462,0.4001261035508566,0.8641328400468458,0.17129454484267845
2022-05-19,20,0.6646855616628369,0.6781581290959422,0.440057903114951,0.8721748137189732,0.16460581898026258
