asset_a,asset_b,corr_calm,corr_crisis,delta
DG,XOM,0.04570871423616721,0.9566982052036878,0.9109894909675206
CW,MCD,0.07941686950452308,0.9897078186768891,0.910290949172366
GD,REGN,0.06828511123123433,0.9783268422832199,0.9100417310519855
DUK,XBI,0.04990608823670115,0.9597924586889072,0.909886370452206
LRCX,SO,-0.006499916915321886,0.9033732867202703,0.9098732036355922
PEP,PSX,0.059574873061940856,0.9693488326441863,0.9097739595822454
LLY,MPC,0.06849113719773395,0.9781300795656154,0.9096389423678815
DE,REGN,0.06579775720077347,0.9753842197756447,0.9095864625748713
AMAT,PM,0.04329572650227599,0.9527359015634045,0.9094401750611285
CRWD,DD,0.04339066113995076,0.9527659543921522,0.9093752932522015
CW,SO,0.053708734789591574,0.9630818963903838,0.9093731616007922
HII,SO,0.05669559448729702,0.9659699057404947,0.9092743112531977
ABBV,TDG,0.0799948936258969,0.9889916757154815,0.9089967820895846
CVX,WM,0.04008182602018798,0.9490285258297804,0.9089466998095924
LLY,VLO,0.049510495226057646,0.9581668407071124,0.9086563454810548
COST,PSX,0.059992066213025094,0.9683295396481824,0.9083374734351572
PG,VLO,0.02156377820956531,0.9297504917553502,0.9081867135457848
MU,SO,0.019812349219441416,0.9278662746544012,0.9080539254349598
CAT,REGN,0.0693491218626373,0.9770271461263368,0.9076780242636995
LRCX,PM,0.029164994403096303,0.9368127152505875,0.9076477208474912
ALL,REGN,0.05996018960344523,0.9676068432876691,0.9076466536842239
AEP,RKLB,0.021006092956156634,0.9285431864037715,0.9075370934476149
AEP,PSX,0.06154722660207289,0.9685343652585275,0.9069871386564546
ASIX,XLU,0.04992174302628369,0.9567200958043349,0.9067983527780512
PSX,SO,0.055833481535384366,0.9624923468630834,0.906658865327699
PG,UAN,-0.02004061551929105,0.8865549236677531,0.9065955391870442
AEP,GOOGL,0.054968067773545556,0.9613260347687838,0.9063579669952382
CW,LLY,0.08570146185136486,0.9919828695098897,0.9062814076585248
CW,UNH,0.07154493753759916,0.9777723888233981,0.906227451285799
PG,PSX,0.04639723170259253,0.9524058318660134,0.9060086001634208
DG,FANG,0.0184681804817668,0.9240565829531125,0.9055884024713458
MTSI,O,0.016060691800096148,0.921624043147599,0.9055633513475029
LMT,UNH,0.07167373167670162,0.9761050607814212,0.9044313291047196
CW,DUK,0.0714801760201269,0.9759100203663114,0.9044298443461845
PEP,WM,0.04873741243113752,0.9528841268249993,0.9041467143938619
FANG,MRK,0.05411058581927721,0.9579897767261648,0.9038791909068876
